Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,0,2,2,None
1,2,4,2,4,6,None
1,3,8,6,2,8,None
2,1,1,2,4,6,None
2,2,4,6,3,9,None
2,3,6,9,3,12,None
3,1,3,3,4,7,None
3,2,5,10,2,12,None
3,3,8,12,2,14,None
4,1,2,2,3,5,None
4,2,5,5,5,10,None
4,3,6,12,3,15,None
5,1,3,0,3,3,None
5,2,5,4,1,5,None
5,3,6,5,3,8,None
6,1,2,5,5,10,None
6,2,4,12,2,14,None
6,3,7,14,3,17,None
7,1,2,12,2,14,None
7,2,4,17,4,21,None
7,3,8,21,3,24,None
8,1,1,9,3,12,None
8,2,5,16,5,21,None
8,3,6,21,3,24,None
9,1,1,0,2,2,None
9,2,5,2,2,4,None
9,3,9,4,5,9,None
10,1,1,6,3,9,None
10,2,4,9,3,12,None
10,3,6,15,4,19,None
11,1,2,10,2,12,None
11,2,4,14,3,17,None
11,3,9,17,5,22,None
12,1,3,7,4,11,None
12,2,5,12,4,16,None
12,3,7,17,4,21,None
