Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,2,1,3,None
1,2,1,5,3,8,None
1,3,2,8,6,14,None
1,4,4,14,7,21,None
1,5,6,21,3,24,None
1,6,5,24,6,30,None
2,1,2,0,8,8,None
2,2,3,9,5,14,None
2,3,5,14,10,24,None
2,4,6,24,10,34,None
2,5,1,34,10,44,None
2,6,4,52,4,56,None
3,1,3,3,5,8,None
3,2,4,8,4,12,None
3,3,6,12,8,20,None
3,4,1,20,9,29,None
3,5,2,29,1,30,None
3,6,5,30,7,37,None
4,1,2,24,5,29,None
4,2,1,29,5,34,None
4,3,3,34,5,39,None
4,4,4,39,3,42,None
4,5,5,42,8,50,None
4,6,6,50,9,59,None
5,1,3,25,9,34,None
5,2,2,34,3,37,None
5,3,5,37,5,42,None
5,4,6,44,4,48,None
5,5,1,55,3,58,None
5,6,4,58,1,59,None
6,1,2,21,3,24,None
6,2,4,27,3,30,None
6,3,6,35,9,44,None
6,4,1,44,10,54,None
6,5,5,54,4,58,None
6,6,3,58,1,59,None
