Job,Operation,Machine,Start,Duration,End
1,1,3,56,1,57
1,2,1,51,3,54
1,3,2,45,6,51
1,4,4,38,7,45
1,5,6,35,3,38
1,6,5,29,6,35
2,1,2,51,8,59
2,2,3,45,5,50
2,3,5,35,10,45
2,4,6,25,10,35
2,5,1,15,10,25
2,6,4,3,4,7
3,1,3,51,5,56
3,2,4,47,4,51
3,3,6,39,8,47
3,4,1,30,9,39
3,5,2,29,1,30
3,6,5,22,7,29
4,1,2,30,5,35
4,2,1,25,5,30
4,3,3,20,5,25
4,4,4,17,3,20
4,5,5,9,8,17
4,6,6,0,9,9
5,1,3,25,9,34
5,2,2,22,3,25
5,3,5,17,5,22
5,4,6,11,4,15
5,5,1,1,3,4
5,6,4,0,1,1
6,1,2,35,3,38
6,2,4,29,3,32
6,3,6,15,9,24
6,4,1,5,10,15
6,5,5,1,4,5
6,6,3,0,1,1
