Job,Operation,Machine,Start,Duration,End
1,1,3,38,1,39
1,2,1,34,3,37
1,3,2,27,6,33
1,4,4,11,7,18
1,5,6,6,3,9
1,6,5,0,6,6
2,1,2,48,8,56
2,2,3,42,5,47
2,3,5,32,10,42
2,4,6,22,10,32
2,5,1,5,10,15
2,6,4,1,4,5
3,1,3,47,5,52
3,2,4,40,4,44
3,3,6,32,8,40
3,4,1,15,9,24
3,5,2,14,1,15
3,6,5,6,7,13
4,1,2,43,5,48
4,2,1,38,5,43
4,3,3,33,5,38
4,4,4,30,3,33
4,5,5,22,8,30
4,6,6,13,9,22
5,1,3,21,9,30
5,2,2,18,3,21
5,3,5,13,5,18
5,4,6,9,4,13
5,5,1,1,3,4
5,6,4,0,1,1
6,1,2,56,3,59
6,2,4,50,3,53
6,3,6,40,9,49
6,4,1,24,10,34
6,5,5,18,4,22
6,6,3,7,1,8
