Job,Operation,Machine,Start,Duration,End
1,1,3,47,1,48
1,2,1,40,3,43
1,3,2,33,6,39
1,4,4,21,7,28
1,5,6,9,3,12
1,6,5,0,6,6
2,1,2,47,8,55
2,2,3,42,5,47
2,3,5,30,10,40
2,4,6,16,10,26
2,5,1,5,10,15
2,6,4,1,4,5
3,1,3,48,5,53
3,2,4,43,4,47
3,3,6,35,8,43
3,4,1,26,9,35
3,5,2,25,1,26
3,6,5,18,7,25
4,1,2,42,5,47
4,2,1,35,5,40
4,3,3,21,5,26
4,4,4,18,3,21
4,5,5,10,8,18
4,6,6,0,9,9
5,1,3,33,9,42
5,2,2,30,3,33
5,3,5,25,5,30
5,4,6,12,4,16
5,5,1,1,3,4
5,6,4,0,1,1
6,1,2,39,3,42
6,2,4,35,3,38
6,3,6,26,9,35
6,4,1,15,10,25
6,5,5,6,4,10
6,6,3,0,1,1
