Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,56,1,57,None
1,2,1,51,3,54,None
1,3,2,45,6,51,None
1,4,4,38,7,45,None
1,5,6,35,3,38,None
1,6,5,29,6,35,None
2,1,2,51,8,59,None
2,2,3,45,5,50,None
2,3,5,35,10,45,None
2,4,6,25,10,35,None
2,5,1,15,10,25,None
2,6,4,3,4,7,None
3,1,3,51,5,56,None
3,2,4,47,4,51,None
3,3,6,39,8,47,None
3,4,1,30,9,39,None
3,5,2,29,1,30,None
3,6,5,22,7,29,None
4,1,2,30,5,35,None
4,2,1,25,5,30,None
4,3,3,20,5,25,None
4,4,4,17,3,20,None
4,5,5,9,8,17,None
4,6,6,0,9,9,None
5,1,3,25,9,34,None
5,2,2,22,3,25,None
5,3,5,17,5,22,None
5,4,6,11,4,15,None
5,5,1,1,3,4,None
5,6,4,0,1,1,None
6,1,2,35,3,38,None
6,2,4,29,3,32,None
6,3,6,15,9,24,None
6,4,1,5,10,15,None
6,5,5,1,4,5,None
6,6,3,0,1,1,None
