Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,0,1,1,None
1,2,1,4,3,7,None
1,3,2,8,6,14,None
1,4,4,14,7,21,None
1,5,6,21,3,24,None
1,6,5,24,6,30,None
2,1,2,0,8,8,None
2,2,3,8,5,13,None
2,3,5,13,10,23,None
2,4,6,24,10,34,None
2,5,1,34,10,44,None
2,6,4,44,4,48,None
3,1,3,1,5,6,None
3,2,4,6,4,10,None
3,3,6,10,8,18,None
3,4,1,18,9,27,None
3,5,2,27,1,28,None
3,6,5,30,7,37,None
4,1,2,19,5,24,None
4,2,1,27,5,32,None
4,3,3,32,5,37,None
4,4,4,37,3,40,None
4,5,5,42,8,50,None
4,6,6,50,9,59,None
5,1,3,22,9,31,None
5,2,2,31,3,34,None
5,3,5,37,5,42,None
5,4,6,43,4,47,None
5,5,1,54,3,57,None
5,6,4,57,1,58,None
6,1,2,28,3,31,None
6,2,4,31,3,34,None
6,3,6,34,9,43,None
6,4,1,44,10,54,None
6,5,5,54,4,58,None
6,6,3,58,1,59,None
