Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,38,1,39,None
1,2,1,34,3,37,None
1,3,2,27,6,33,None
1,4,4,11,7,18,None
1,5,6,6,3,9,None
1,6,5,0,6,6,None
2,1,2,48,8,56,None
2,2,3,42,5,47,None
2,3,5,32,10,42,None
2,4,6,22,10,32,None
2,5,1,5,10,15,None
2,6,4,1,4,5,None
3,1,3,47,5,52,None
3,2,4,40,4,44,None
3,3,6,32,8,40,None
3,4,1,15,9,24,None
3,5,2,14,1,15,None
3,6,5,6,7,13,None
4,1,2,43,5,48,None
4,2,1,38,5,43,None
4,3,3,33,5,38,None
4,4,4,30,3,33,None
4,5,5,22,8,30,None
4,6,6,13,9,22,None
5,1,3,21,9,30,None
5,2,2,18,3,21,None
5,3,5,13,5,18,None
5,4,6,9,4,13,None
5,5,1,1,3,4,None
5,6,4,0,1,1,None
6,1,2,56,3,59,None
6,2,4,50,3,53,None
6,3,6,40,9,49,None
6,4,1,24,10,34,None
6,5,5,18,4,22,None
6,6,3,7,1,8,None
