Job,Operation,Machine,Start,Duration,End
1,1,3,35,4,39
1,2,5,15,3,18
1,3,6,21,2,23
1,4,1,7,1,8
1,5,3,5,1,6
1,6,6,9,6,15
2,1,2,6,6,12
2,2,3,22,1,23
2,3,1,18,2,20
2,4,4,12,6,18
2,5,1,20,1,21
3,1,2,18,6,24
3,2,6,26,2,28
3,3,1,24,1,25
3,4,6,0,6,6
3,5,1,6,1,7
4,1,1,38,1,39
4,2,2,30,6,36
4,3,3,4,1,5
4,4,5,5,3,8
4,5,6,36,2,38
5,1,5,30,3,33
5,2,1,33,1,34
5,3,2,0,6,6
5,4,1,25,5,30
5,5,4,18,6,24
5,6,3,10,4,14
6,1,6,6,2,8
6,2,1,0,2,2
6,3,3,31,4,35
6,4,2,24,6,30
6,5,1,8,1,9
6,6,4,9,2,11
7,1,6,8,1,9
7,2,1,9,3,12
7,3,3,0,4,4
7,4,5,4,1,5
7,5,3,14,1,15
8,1,3,23,4,27
8,2,3,18,4,22
8,3,1,22,1,23
8,4,2,12,6,18
8,5,4,33,6,39
9,1,6,25,1,26
9,2,1,2,1,3
9,3,6,15,6,21
9,4,1,34,2,36
9,5,3,6,4,10
9,6,4,27,6,33
10,1,6,23,2,25
10,2,3,27,4,31
10,3,5,33,3,36
10,4,6,38,1,39
10,5,4,0,6,6
10,6,4,25,2,27
