Job,Operation,Machine,Start,Duration,End
1,1,1,30,5,35
1,2,5,15,3,18
1,3,6,24,2,26
1,4,1,35,1,36
1,5,3,14,1,15
1,6,6,18,6,24
2,1,2,12,6,18
2,2,3,9,1,10
2,3,1,10,2,12
2,4,4,33,6,39
2,5,1,1,1,2
3,1,2,6,6,12
3,2,6,28,2,30
3,3,1,0,1,1
3,4,3,19,4,23
3,5,1,23,1,24
4,1,1,9,1,10
4,2,2,34,6,40
4,3,3,8,1,9
4,4,5,12,3,15
4,5,6,10,2,12
5,1,2,30,1,31
5,2,1,12,1,13
5,3,2,18,6,24
5,4,3,0,4,4
5,5,4,4,6,10
5,6,3,24,4,28
6,1,6,34,2,36
6,2,1,2,2,4
6,3,3,30,4,34
6,4,2,24,6,30
6,5,1,18,1,19
6,6,4,16,2,18
7,1,6,8,1,9
7,2,1,13,3,16
7,3,3,4,4,8
7,4,5,9,1,10
7,5,3,23,1,24
8,1,6,16,2,18
8,2,3,34,4,38
8,3,1,19,1,20
8,4,2,0,6,6
8,5,4,10,6,16
9,1,6,27,1,28
9,2,5,30,5,35
9,3,4,24,3,27
9,4,1,28,2,30
9,5,3,10,4,14
9,6,4,18,6,24
10,1,6,0,2,2
10,2,3,15,4,19
10,3,2,33,1,34
10,4,6,7,1,8
10,5,4,27,6,33
10,6,1,4,3,7
