Job,Operation,Machine,Start,Duration,End
1,1,3,11,4,15
1,2,2,33,1,34
1,3,6,0,2,2
1,4,1,35,1,36
1,5,3,2,1,3
1,6,4,30,3,33
2,1,2,13,6,19
2,2,3,23,1,24
2,3,1,6,2,8
2,4,4,0,6,6
2,5,1,24,1,25
3,1,2,6,6,12
3,2,6,24,2,26
3,3,1,26,1,27
3,4,3,19,4,23
3,5,1,27,1,28
4,1,1,3,1,4
4,2,2,19,6,25
4,3,3,0,1,1
4,4,2,25,1,26
4,5,6,31,2,33
5,1,2,32,1,33
5,2,1,34,1,35
5,3,2,26,6,32
5,4,3,7,4,11
5,5,4,11,6,17
5,6,6,18,6,24
6,1,6,26,2,28
6,2,1,8,2,10
6,3,6,2,6,8
6,4,2,34,6,40
6,5,1,10,1,11
6,6,1,12,3,15
7,1,6,29,1,30
7,2,1,0,3,3
7,3,3,3,4,7
7,4,5,30,1,31
7,5,3,28,1,29
8,1,6,16,2,18
8,2,3,24,4,28
8,3,1,11,1,12
8,4,2,0,6,6
8,5,4,18,6,24
9,1,6,39,1,40
9,2,1,18,1,19
9,3,4,6,3,9
9,4,1,16,2,18
9,5,6,10,6,16
9,6,4,33,6,39
10,1,6,8,2,10
10,2,3,15,4,19
10,3,2,12,1,13
10,4,6,30,1,31
10,5,4,24,6,30
10,6,1,31,3,34
