Job,Operation,Machine,Start,Duration,End
1,1,1,16,5,21
1,2,2,0,1,1
1,3,6,21,2,23
1,4,1,8,1,9
1,5,3,23,1,24
1,6,4,13,3,16
2,1,2,34,6,40
2,2,3,19,1,20
2,3,1,12,2,14
2,4,4,0,6,6
2,5,1,15,1,16
3,1,2,19,6,25
3,2,6,8,2,10
3,3,1,1,1,2
3,4,3,10,4,14
3,5,1,14,1,15
4,1,1,7,1,8
4,2,2,1,6,7
4,3,3,8,1,9
4,4,5,9,3,12
4,5,6,12,2,14
5,1,5,13,3,16
5,2,1,0,1,1
5,3,2,28,6,34
5,4,1,2,5,7
5,5,4,7,6,13
5,6,3,24,4,28
6,1,6,19,2,21
6,2,1,26,2,28
6,3,3,0,4,4
6,4,2,13,6,19
6,5,1,31,1,32
6,6,1,28,3,31
7,1,6,10,1,11
7,2,1,23,3,26
7,3,3,28,4,32
7,4,5,0,1,1
7,5,3,18,1,19
8,1,6,31,2,33
8,2,3,14,4,18
8,3,1,21,1,22
8,4,2,7,6,13
8,5,4,25,6,31
9,1,6,23,1,24
9,2,1,22,1,23
9,3,4,16,3,19
9,4,1,37,2,39
9,5,3,4,4,8
9,6,4,31,6,37
10,1,6,0,2,2
10,2,6,2,6,8
10,3,2,26,1,27
10,4,6,25,1,26
10,5,4,19,6,25
10,6,1,9,3,12
