Job,Operation,Machine,Start,Duration,End
1,1,3,28,4,32
1,2,5,17,3,20
1,3,6,14,2,16
1,4,1,9,1,10
1,5,3,10,1,11
1,6,4,6,3,9
2,1,2,33,6,39
2,2,3,19,1,20
2,3,1,4,2,6
2,4,4,9,6,15
2,5,1,20,1,21
3,1,2,6,6,12
3,2,6,28,2,30
3,3,1,30,1,31
3,4,3,24,4,28
3,5,1,12,1,13
4,1,1,1,1,2
4,2,2,12,6,18
4,3,3,0,1,1
4,4,2,18,1,19
4,5,6,3,2,5
5,1,5,0,3,3
5,2,1,3,1,4
5,3,2,27,6,33
5,4,3,20,4,24
5,5,4,33,6,39
5,6,3,6,4,10
6,1,6,20,2,22
6,2,1,23,2,25
6,3,3,32,4,36
6,4,2,0,6,6
6,5,1,22,1,23
6,6,1,16,3,19
7,1,6,0,1,1
7,2,1,13,3,16
7,3,3,2,4,6
7,4,5,16,1,17
7,5,3,1,1,2
8,1,6,1,2,3
8,2,3,11,4,15
8,3,1,10,1,11
8,4,2,21,6,27
8,5,4,15,6,21
9,1,6,5,1,6
9,2,1,39,1,40
9,3,4,21,3,24
9,4,1,25,2,27
9,5,6,33,6,39
9,6,4,27,6,33
10,1,6,12,2,14
10,2,3,15,4,19
10,3,5,9,3,12
10,4,6,19,1,20
10,5,4,0,6,6
10,6,1,6,3,9
