Job,Operation,Machine,Start,Duration,End
1,1,1,1,5,6
1,2,5,6,3,9
1,3,6,25,2,27
1,4,1,9,1,10
1,5,3,24,1,25
1,6,6,15,6,21
2,1,2,31,6,37
2,2,3,16,1,17
2,3,1,37,2,39
2,4,4,24,6,30
2,5,1,6,1,7
3,1,2,12,6,18
3,2,6,27,2,29
3,3,1,0,1,1
3,4,3,4,4,8
3,5,1,18,1,19
4,1,1,7,1,8
4,2,2,25,6,31
4,3,3,36,1,37
4,4,5,33,3,36
4,5,6,31,2,33
5,1,2,18,1,19
5,2,1,19,1,20
5,3,2,6,6,12
5,4,3,25,4,29
5,5,4,12,6,18
5,6,3,20,4,24
6,1,6,6,2,8
6,2,1,12,2,14
6,3,3,8,4,12
6,4,2,0,6,6
6,5,1,17,1,18
6,6,1,14,3,17
7,1,6,14,1,15
7,2,1,20,3,23
7,3,3,0,4,4
7,4,5,26,1,27
7,5,3,17,1,18
8,1,3,29,4,33
8,2,3,12,4,16
8,3,1,25,1,26
8,4,2,19,6,25
8,5,4,0,6,6
9,1,6,24,1,25
9,2,1,28,1,29
9,3,4,6,3,9
9,4,1,26,2,28
9,5,6,0,6,6
9,6,4,18,6,24
10,1,6,21,2,23
10,2,6,8,6,14
10,3,5,23,3,26
10,4,6,29,1,30
10,5,4,32,6,38
10,6,4,30,2,32
