Job,Operation,Machine,Start,Duration,End
1,1,1,21,5,26
1,2,5,26,3,29
1,3,6,18,2,20
1,4,1,20,1,21
1,5,3,7,1,8
1,6,6,1,6,7
2,1,2,14,6,20
2,2,3,5,1,6
2,3,1,26,2,28
2,4,4,8,6,14
2,5,1,0,1,1
3,1,2,20,6,26
3,2,6,14,2,16
3,3,1,17,1,18
3,4,6,8,6,14
3,5,1,16,1,17
4,1,1,30,1,31
4,2,2,1,6,7
4,3,3,12,1,13
4,4,2,0,1,1
4,5,6,25,2,27
5,1,2,32,1,33
5,2,1,1,1,2
5,3,2,33,6,39
5,4,3,17,4,21
5,5,4,2,6,8
5,6,3,13,4,17
6,1,6,23,2,25
6,2,1,28,2,30
6,3,3,30,4,34
6,4,2,7,6,13
6,5,1,5,1,6
6,6,4,0,2,2
7,1,6,20,1,21
7,2,1,2,3,5
7,3,3,8,4,12
7,4,5,22,1,23
7,5,3,21,1,22
8,1,6,21,2,23
8,2,6,32,6,38
8,3,1,38,1,39
8,4,2,26,6,32
8,5,4,14,6,20
9,1,6,7,1,8
9,2,1,8,1,9
9,3,4,20,3,23
9,4,1,9,2,11
9,5,3,35,4,39
9,6,4,29,6,35
10,1,6,16,2,18
10,2,3,1,4,5
10,3,5,29,3,32
10,4,6,0,1,1
10,5,4,23,6,29
10,6,4,35,2,37
