Job,Operation,Machine,Start,Duration,End
1,1,3,4,4,8
1,2,5,9,3,12
1,3,6,25,2,27
1,4,1,17,1,18
1,5,3,8,1,9
1,6,4,12,3,15
2,1,2,19,6,25
2,2,3,12,1,13
2,3,1,28,2,30
2,4,4,6,6,12
2,5,1,13,1,14
3,1,2,7,6,13
3,2,6,13,2,15
3,3,1,16,1,17
3,4,3,27,4,31
3,5,1,15,1,16
4,1,1,12,1,13
4,2,2,0,6,6
4,3,3,9,1,10
4,4,2,6,1,7
4,5,6,7,2,9
5,1,5,27,3,30
5,2,1,37,1,38
5,3,2,13,6,19
5,4,3,19,4,23
5,5,4,31,6,37
5,6,3,23,4,27
6,1,6,5,2,7
6,2,1,3,2,5
6,3,6,19,6,25
6,4,2,31,6,37
6,5,1,27,1,28
6,6,1,0,3,3
7,1,6,17,1,18
7,2,1,9,3,12
7,3,3,13,4,17
7,4,5,3,1,4
7,5,3,18,1,19
8,1,6,36,2,38
8,2,3,31,4,35
8,3,1,35,1,36
8,4,2,25,6,31
8,5,4,0,6,6
9,1,6,18,1,19
9,2,1,8,1,9
9,3,4,15,3,18
9,4,1,25,2,27
9,5,3,0,4,4
9,6,4,19,6,25
10,1,6,31,2,33
10,2,3,35,4,39
10,3,5,0,3,3
10,4,6,39,1,40
10,5,4,25,6,31
10,6,1,5,3,8
