Job,Operation,Machine,Start,Duration,End
1,1,1,13,5,18
1,2,5,32,3,35
1,3,6,37,2,39
1,4,1,31,1,32
1,5,3,0,1,1
1,6,3,25,6,31
2,1,2,31,6,37
2,2,3,14,1,15
2,3,1,9,2,11
2,4,4,2,6,8
2,5,1,37,1,38
3,1,2,25,6,31
3,2,6,9,2,11
3,3,1,1,1,2
3,4,3,15,4,19
3,5,1,32,1,33
4,1,6,21,5,26
4,2,2,6,6,12
4,3,3,5,1,6
4,4,5,12,3,15
4,5,6,1,2,3
5,1,2,18,1,19
5,2,1,8,1,9
5,3,2,0,6,6
5,4,3,35,4,39
5,5,4,29,6,35
5,6,3,10,4,14
6,1,6,19,2,21
6,2,1,25,2,27
6,3,3,21,4,25
6,4,2,12,6,18
6,5,1,18,1,19
6,6,1,2,3,5
7,1,6,28,1,29
7,2,4,0,2,2
7,3,6,3,6,9
7,4,5,11,1,12
7,5,3,19,1,20
8,1,6,29,2,31
8,2,6,31,6,37
8,3,1,0,1,1
8,4,2,19,6,25
8,5,4,8,6,14
9,1,6,13,1,14
9,2,1,29,1,30
9,3,4,20,3,23
9,4,1,11,2,13
9,5,3,6,4,10
9,6,4,23,6,29
10,1,6,26,2,28
10,2,3,1,4,5
10,3,5,8,3,11
10,4,6,0,1,1
10,5,4,14,6,20
10,6,1,5,3,8
