Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,7,1,8,None
1,2,1,11,3,14,None
1,3,2,26,6,32,None
1,4,4,32,7,39,None
1,5,6,39,3,42,None
1,6,5,49,6,55,None
2,1,2,0,8,8,None
2,2,3,8,5,13,None
2,3,5,15,10,25,None
2,4,6,29,10,39,None
2,5,1,40,10,50,None
2,6,4,50,4,54,None
3,1,3,2,5,7,None
3,2,4,7,4,11,None
3,3,6,11,8,19,None
3,4,1,19,9,28,None
3,5,2,41,1,42,None
3,6,5,42,7,49,None
4,1,2,8,5,13,None
4,2,1,14,5,19,None
4,3,3,22,5,27,None
4,4,4,27,3,30,None
4,5,5,30,8,38,None
4,6,6,46,9,55,None
5,1,3,13,9,22,None
5,2,2,22,3,25,None
5,3,5,25,5,30,None
5,4,6,42,4,46,None
5,5,1,51,3,54,None
5,6,4,54,1,55,None
6,1,2,13,3,16,None
6,2,4,16,3,19,None
6,3,6,19,9,28,None
6,4,1,28,10,38,None
6,5,5,38,4,42,None
6,6,3,54,1,55,None
