Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,0,1,1,None
1,2,1,1,3,4,None
1,3,2,16,6,22,None
1,4,4,30,7,37,None
1,5,6,42,3,45,None
1,6,5,49,6,55,None
2,1,2,0,8,8,None
2,2,3,8,5,13,None
2,3,5,13,10,23,None
2,4,6,28,10,38,None
2,5,1,38,10,48,None
2,6,4,48,4,52,None
3,1,3,1,5,6,None
3,2,4,6,4,10,None
3,3,6,10,8,18,None
3,4,1,18,9,27,None
3,5,2,27,1,28,None
3,6,5,42,7,49,None
4,1,2,8,5,13,None
4,2,1,13,5,18,None
4,3,3,22,5,27,None
4,4,4,27,3,30,None
4,5,5,30,8,38,None
4,6,6,45,9,54,None
5,1,3,13,9,22,None
5,2,2,22,3,25,None
5,3,5,25,5,30,None
5,4,6,38,4,42,None
5,5,1,48,3,51,None
5,6,4,52,1,53,None
6,1,2,13,3,16,None
6,2,4,16,3,19,None
6,3,6,19,9,28,None
6,4,1,28,10,38,None
6,5,5,38,4,42,None
6,6,3,42,1,43,None
