Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,52,1,53,None
1,2,1,40,3,43,None
1,3,2,33,6,39,None
1,4,4,21,7,28,None
1,5,6,13,3,16,None
1,6,5,0,6,6,None
2,1,2,47,8,55,None
2,2,3,42,5,47,None
2,3,5,30,10,40,None
2,4,6,16,10,26,None
2,5,1,5,10,15,None
2,6,4,1,4,5,None
3,1,3,47,5,52,None
3,2,4,43,4,47,None
3,3,6,35,8,43,None
3,4,1,26,9,35,None
3,5,2,25,1,26,None
3,6,5,18,7,25,None
4,1,2,42,5,47,None
4,2,1,35,5,40,None
4,3,3,21,5,26,None
4,4,4,18,3,21,None
4,5,5,10,8,18,None
4,6,6,0,9,9,None
5,1,3,33,9,42,None
5,2,2,30,3,33,None
5,3,5,25,5,30,None
5,4,6,9,4,13,None
5,5,1,1,3,4,None
5,6,4,0,1,1,None
6,1,2,39,3,42,None
6,2,4,35,3,38,None
6,3,6,26,9,35,None
6,4,1,15,10,25,None
6,5,5,6,4,10,None
6,6,3,0,1,1,None
