Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,5,1,6,None
1,2,1,6,3,9,None
1,3,2,16,6,22,None
1,4,4,30,7,37,None
1,5,6,40,3,43,None
1,6,5,49,6,55,None
2,1,2,0,8,8,None
2,2,3,8,5,13,None
2,3,5,13,10,23,None
2,4,6,26,10,36,None
2,5,1,40,10,50,None
2,6,4,50,4,54,None
3,1,3,0,5,5,None
3,2,4,5,4,9,None
3,3,6,9,8,17,None
3,4,1,21,9,30,None
3,5,2,30,1,31,None
3,6,5,38,7,45,None
4,1,2,11,5,16,None
4,2,1,16,5,21,None
4,3,3,22,5,27,None
4,4,4,27,3,30,None
4,5,5,30,8,38,None
4,6,6,43,9,52,None
5,1,3,13,9,22,None
5,2,2,22,3,25,None
5,3,5,25,5,30,None
5,4,6,36,4,40,None
5,5,1,50,3,53,None
5,6,4,54,1,55,None
6,1,2,8,3,11,None
6,2,4,11,3,14,None
6,3,6,17,9,26,None
6,4,1,30,10,40,None
6,5,5,45,4,49,None
6,6,3,49,1,50,None
